Group	Group_No	Tube_label	conc.
RM	RM_1	RM2	0.272756244
RM	RM_2	RM4	0.302609085
RM	RM_3	RM8	0.336311626
RM	RM_4	RM9	0.339331345
MT	MT_1	MT2_2nd	0.224511371
MT	MT_2	MT3	0.248492534
MT	MT_3	MT4	0.238497439
MT	MT_4	MT7	0.248863377
MT	MT_5	MT9	0.276226273
MT	MT_6	MT10	0.323853076
MT	MT_7	MT12	0.333556794
MT	MT_8	MT14	0.271634887
MT	MT_9	MT11	0.305302109
MT	MT_10	MT16	0.251609379
MT	MT_11	MT17	0.270619484
MT	MT_12	MT18	0.302776847
MT	MT_13	MT19_2nd	0.248995821
MT	MT_14	MT20	0.314617326
MT	MT_15	MT21	0.259812067
PT	PT_1	PT1	0.296463691
PT	PT_2	PT3	0.264332817
PT	PT_3	PT4	0.28938236
PT	PT_4	PT5	0.270504699
PT	PT_5	PT6	0.275802453
PT	PT_6	PT7	0.249984735
PT	PT_7	PT10_2nd	0.197483999
PT	PT_8	PT11	0.253454763
PT	PT_9	PT12	0.256695222
PT	PT_10	PT17	0.285912332
PT	PT_11	PT18	0.258902619
PM	PM_1	PM3	0.243689238
PM	PM_2	PM4	0.264147395
PM	PM_3	PM5	0.238038301
PM	PM_4	PM6	0.274089512
PM	PM_5	PM7	0.282345178
PM	PM_6	PM8	0.27328602
PM	PM_7	PM9	0.269904287
PM	PM_8	PM10	0.273356657
PM	PM_9	PM12	0.294035554
PM	PM_10	PM13	0.284102266
PM	PM_11	PM14	0.272314765
PM	PM_12	PM16	0.252536486
PM	PM_13	PM17	0.26855336
NL	NL_1	NL2	0.267679231
NL	NL_2	NL3	0.290574355
NL	NL_3	NL5	0.281047228
NL	NL_4	NL6	0.297805788
NL	NL_5	NL7	0.29861811
